Code,Municipio,Depto,Censo electoral,Participación/Total votos,Abstención,Ganador circunscripción nacional,Votos válidos (Nacional),Alianza Verde,Cambio Radical,Centro Democrático,MIRA,Partido Conservador,Partido de la U,Partido Liberal,Polo Democrático Alternativo,Opción Ciudadana,Voto en blanco (Nacional),Ganador circunscripción indígena,Votos válidos (Indígenas),AICO,ANIC,ASI,Asoc. Autoridades trad. y cabildos indígenas de Colombia,Cabildo Resg. de Calderas,Cabildo San Sebastián de los Lagos,Comunidad de Barrancon,Corp. Indígena Yanacona,Dignidades agropecuarias indígenas,MAIS,Multietnia Colombia,OPIAC,OPIC,Renovación étnica de Colombia,Voto en blanco (Indígenas),Votos válidos (todas las circunscripciones),Votos inválidos,Votos Nulos,Tarjetones No Marcados,%Participación,%Abstención,%Válidos (Nacional),%Alianza Verde,%Cambio Radical,%Centro Democrático,%MIRA,%Partido Conservador,%Partido de la U,%Partido Liberal,%Polo Democrático Alternativo,%Opción Ciudadana,%Blancos (Nacional),%Válidos (Indígenas),%AICO,%ANIC,%ASI,%Asoc. Autoridades trad. y cabildos indígenas de Colombia,%Cabildo Resg. de Calderas,%Cabildo San Sebastián de los Lagos,%Comunidad de Barrancon,%Corp. Indígena Yanacona,%Dignidades agropecuarias indígenas,%MAIS,%Multietnia Colombia,%OPIAC,%OPIC,%Renovación étnica de Colombia,%Blancos (Indígenas),%Válidos (Todas las circunscripciones),%Votos inválidos,%Votos Nulos,%Tarjetones No Marcados
68615,Rionegro,Santander,21074,9727,11347,Opción Ciudadana,7791,89,1488,1473,43,251,181,1034,204,2620,408,Voto en Blanco,155,4,4,18,3,4,,28,1,,11,6,1,,9,66,7946,1781,1069,712,46.16,53.84,80.1,1.14,19.1,18.91,0.55,3.22,2.32,13.27,2.62,33.63,5.24,1.59,2.58,2.58,11.61,1.94,2.58,0,18.06,0.65,0,7.1,3.87,0.65,0,5.81,42.58,81.69,18.31,10.99,7.32
68655,Sabana de Torres,Santander,18823,8487,10336,Partido Liberal,7171,69,1030,1355,19,266,389,2244,153,1355,291,Voto en Blanco,93,12,1,5,1,3,,2,2,2,6,3,6,2,4,44,7264,1223,703,520,45.09,54.91,84.49,0.96,14.36,18.9,0.26,3.71,5.42,31.29,2.13,18.9,4.06,1.1,12.9,1.08,5.38,1.08,3.23,0,2.15,2.15,2.15,6.45,3.23,6.45,2.15,4.3,47.31,85.59,14.41,8.28,6.13
68669,San Andrés,Santander,6967,3803,3164,Opción Ciudadana,3120,20,130,172,5,365,59,804,54,1430,81,Voto en Blanco,43,5,2,5,1,1,,4,2,1,3,1,,,3,15,3163,640,401,239,54.59,45.41,82.04,0.64,4.17,5.51,0.16,11.7,1.89,25.77,1.73,45.83,2.6,1.13,11.63,4.65,11.63,2.33,2.33,0,9.3,4.65,2.33,6.98,2.33,0,0,6.98,34.88,83.17,16.83,10.54,6.28
68673,San Benito,Santander,2847,1563,1284,Cambio Radical,1382,11,704,18,3,38,33,114,18,435,8,Empate,5,1,,2,,,,,,,2,,,,,0,1387,176,88,88,54.9,45.1,88.42,0.8,50.94,1.3,0.22,2.75,2.39,8.25,1.3,31.48,0.58,0.32,20,0,40,0,0,0,0,0,0,40,0,0,0,0,0,88.74,11.26,5.63,5.63
68679,San Gil,Santander,37717,19482,18235,Opción Ciudadana,16910,336,1564,2284,179,2406,906,3186,754,3341,1954,Voto en Blanco,368,25,6,14,1,4,,7,,1,8,6,8,1,7,280,17278,2204,1616,588,51.65,48.35,86.8,1.99,9.25,13.51,1.06,14.23,5.36,18.84,4.46,19.76,11.56,1.89,6.79,1.63,3.8,0.27,1.09,0,1.9,0,0.27,2.17,1.63,2.17,0.27,1.9,76.09,88.69,11.31,8.29,3.02
68682,San Joaquín,Santander,2164,1204,960,Partido Liberal,1000,2,7,83,2,118,26,488,7,250,17,Empate,5,,1,,,,,,,1,,1,1,,,1,1005,199,80,119,55.64,44.36,83.06,0.2,0.7,8.3,0.2,11.8,2.6,48.8,0.7,25,1.7,0.42,0,20,0,0,0,0,0,0,20,0,20,20,0,0,20,83.47,16.53,6.64,9.88
68684,San José de Miranda,Santander,3854,2287,1567,Opción Ciudadana,2095,9,189,263,5,283,65,188,29,1010,54,Voto en Blanco,24,2,1,2,1,2,,,,1,4,,1,1,1,8,2119,168,99,69,59.34,40.66,91.6,0.43,9.02,12.55,0.24,13.51,3.1,8.97,1.38,48.21,2.58,1.05,8.33,4.17,8.33,4.17,8.33,0,0,0,4.17,16.67,0,4.17,4.17,4.17,33.33,92.65,7.35,4.33,3.02
68686,San Miguel,Santander,2106,1048,1058,Opción Ciudadana,863,6,21,76,1,140,10,208,9,379,13,ASI,15,3,1,6,,,,,,,,,,,,5,878,170,102,68,49.76,50.24,82.35,0.7,2.43,8.81,0.12,16.22,1.16,24.1,1.04,43.92,1.51,1.43,20,6.67,40,0,0,0,0,0,0,0,0,0,0,0,33.33,83.78,16.22,9.73,6.49
68689,San Vicente de Chucurí,Santander,24214,10917,13297,Opción Ciudadana,9169,73,190,925,178,279,388,2394,1780,2455,507,Voto en Blanco,128,3,9,6,1,2,,1,1,1,3,7,3,1,3,87,9297,1620,847,773,45.09,54.91,83.99,0.8,2.07,10.09,1.94,3.04,4.23,26.11,19.41,26.78,5.53,1.17,2.34,7.03,4.69,0.78,1.56,0,0.78,0.78,0.78,2.34,5.47,2.34,0.78,2.34,67.97,85.16,14.84,7.76,7.08
68705,Santa Bárbara,Santander,1861,1037,824,Opción Ciudadana,885,1,26,97,1,202,22,54,23,428,31,Voto en Blanco,17,3,1,1,1,1,,1,,1,1,,,,1,6,902,135,74,61,55.72,44.28,85.34,0.11,2.94,10.96,0.11,22.82,2.49,6.1,2.6,48.36,3.5,1.64,17.65,5.88,5.88,5.88,5.88,0,5.88,0,5.88,5.88,0,0,0,5.88,35.29,86.98,13.02,7.14,5.88
